REF DU MUSEE;NOM DU MUSEE;ANNEE;REGION;VILLE;DATE APPELLATION;PAYANT;GRATUIT;TYPE_ACCESSIBILITE;TOTAL;NOTE;ID MUSEOFILE;DEPARTEMENT;OBSERVATIONS
2432202;Musée Militaire - Souvenir du Périgord;2004;NOUVELLE-AQUITAINE;PERIGUEUX;01/02/2003;1720;954;MIXTE;2674;;;DORDOGNE;
3306306;Musée des Arts Décoratifs;2004;NOUVELLE-AQUITAINE;BORDEAUX;01/02/2003;31005;0;PAYANT;31005;;;GIRONDE;
3306301;CAPC Musée d'Art Contemporain de Bordeaux;2004;NOUVELLE-AQUITAINE;BORDEAUX;01/02/2003;90055;0;PAYANT;90055;;;GIRONDE;
3306701;Musée de la Voiture à Cheval;2004;NOUVELLE-AQUITAINE;BOURG-SUR-GIRONDE;01/02/2003;3143;882;MIXTE;4025;;;GIRONDE;
4004601;Musée Historique de l'Hydravion;2004;NOUVELLE-AQUITAINE;BISCARROSSE;01/02/2003;17304;847;MIXTE;18151;;;LANDES;
4012001;Musée Archéologique;2004;NOUVELLE-AQUITAINE;HASTINGUES;01/02/2003;5366;9898;MIXTE;15264;;;LANDES;
4028601;Musée de la Faïence et des arts de la table;2004;NOUVELLE-AQUITAINE;SAMADET;01/02/2003;8621;0;PAYANT;8621;;;LANDES;
304801;Musée Charles-Louis Philippe;2004;AUVERGNE-RHONE-ALPES;CERILLY;01/02/2003;203;0;PAYANT;203;;;ALLIER;
1501401;Musée des Sciences;2004;AUVERGNE-RHONE-ALPES;AURILLAC;01/02/2003;7440;8528;MIXTE;15968;;;CANTAL;
1501402;Musée d'Art et d'Archéologie;2004;AUVERGNE-RHONE-ALPES;AURILLAC;01/02/2003;1591;21021;MIXTE;22612;;;CANTAL;
